Component Name,Provider,Quantity,Price,Link
1uF Capacitor (C1 C10),JLCPCB (Samsung),10,$0.029,https://jlcpcb.com/partdetail/53938-CL05A105KA5NQNC/C52923
0.1uF Capacitor (C2-C12 C17),JLCPCB (Samsung),55,$0.0605,https://jlcpcb.com/partdetail/1877-CL05B104KO5NNNC/C1525
10uF Capacitor (C13 C14),JLCPCB (Samsung),10,$0.056,https://jlcpcb.com/partdetail/20411-CL10A106KP8NNNC/C19702
33pF Capacitor (C15 C16),JLCPCB (FH),10,$0.01,https://jlcpcb.com/partdetail/1914-0402CG330J500NT/C1562
USB-C Connector (J1),JLCPCB (Korean Hroparts),5,$0.8445,https://jlcpcb.com/partdetail/Korean_HropartsElec-TYPE_C_31_M12/C165948
Pin Header 1x20 (J2 J3),JLCPCB (BOOMELE),0,$0,-
Pin Header 1x3 (J4),JLCPCB (BOOMELE),0,$0,-
5.1K Resistor (R1 R2),JLCPCB (UNI-ROYAL),10,$0.005,https://jlcpcb.com/partdetail/26648-0402WGF5101TCE/C25905
27Ω Resistor (R3 R4),JLCPCB (UNI-ROYAL),22,$0.011,https://jlcpcb.com/partdetail/25843-0402WGF270JTCE/C25100
1K Resistor (R5 R6),JLCPCB (UNI-ROYAL),10,$0.005,https://jlcpcb.com/partdetail/12256-0402WGF1001TCE/C11702
10K Resistor (R7),JLCPCB (UNI-ROYAL),5,$0.0025,https://jlcpcb.com/partdetail/26487-0402WGF1002TCE/C25744
Tactile Switch (SW1),JLCPCB (XUNPU),5,$0.2115,https://jlcpcb.com/partdetail/XUNPU-TS_1088AR02016/C720477
RP2040 MCU (U1),JLCPCB (Raspberry Pi),5,$5.5275,https://jlcpcb.com/partdetail/RaspberryPi-RP2040/C2040
MCP1700 LDO 3.3V (U2),JLCPCB (Microchip),5,$1.717,https://jlcpcb.com/partdetail/MicrochipTech-MCP1700T_3302ETT/C39051
W25Q16 Flash 16Mbit (U4),JLCPCB (Winbond),5,$2.76,https://jlcpcb.com/partdetail/WinbondElec-W25Q16JVUXIQ/C2843335
12MHz Crystal (Y1),JLCPCB (YXC),5,$0.3225,https://jlcpcb.com/partdetail/YXC_CrystalOscillators-X322512MSB4SI/C9002
DHT11 Temperature & Humidity Sensor,AliExpress,1,$1.00,https://fr.aliexpress.com/item/1005008659347359.html
TOTAL,,,$ 12.562,-
